"Program","Year","Period","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Fruit","Category","Item","Metric","Area Grown","Fertilize","Organic","Type","Ingredient","Code","Domain Category","Value","CV (%)"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","BLACK BELT",40,"SUMTER","119","STRAWBERRIES ",NA,"Total ACRES BEARING",NA,NA,NA,NA,NA,NA,NA,"NOT SPECIFIED","(D)","(D)"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","BLACK BELT",40,"SUMTER","119","STRAWBERRIES ",NA,"Total ACRES GROWN",NA,NA,NA,NA,NA,NA,NA,"NOT SPECIFIED","(D)","(D)"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","BLACK BELT",40,"SUMTER","119","STRAWBERRIES ",NA,"Total OPERATIONS WITH AREA BEARING",NA,NA,NA,NA,NA,NA,NA,"NOT SPECIFIED","2","55.7"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","BLACK BELT",40,"SUMTER","119","STRAWBERRIES ",NA,"Total OPERATIONS WITH AREA GROWN",NA,NA,NA,NA,NA,NA,NA,"NOT SPECIFIED","2","52.7"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST",50,"CONECUH","035","STRAWBERRIES ",NA,"Total ACRES BEARING",NA,NA,NA,NA,NA,NA,NA,"NOT SPECIFIED","1","13.2"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST",50,"CONECUH","035","STRAWBERRIES ",NA,"Total ACRES GROWN",NA,NA,NA,NA,NA,NA,NA,"NOT SPECIFIED","1","15.7"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST",50,"CONECUH","035","STRAWBERRIES ",NA,"Total OPERATIONS WITH AREA BEARING",NA,NA,NA,NA,NA,NA,NA,"NOT SPECIFIED","6","55.7"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST",50,"CONECUH","035","STRAWBERRIES ",NA,"Total OPERATIONS WITH AREA GROWN",NA,NA,NA,NA,NA,NA,NA,"NOT SPECIFIED","6","52.7"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST",50,"MOBILE","097","STRAWBERRIES ",NA,"Total ACRES BEARING",NA,NA,NA,NA,NA,NA,NA,"NOT SPECIFIED","(D)","(D)"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST",50,"MOBILE","097","STRAWBERRIES ",NA,"Total ACRES GROWN",NA,NA,NA,NA,NA,NA,NA,"NOT SPECIFIED","(D)","(D)"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST",50,"MOBILE","097","STRAWBERRIES ",NA,"Total OPERATIONS WITH AREA BEARING",NA,NA,NA,NA,NA,NA,NA,"NOT SPECIFIED","3","55.7"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST",50,"MOBILE","097","STRAWBERRIES ",NA,"Total OPERATIONS WITH AREA GROWN",NA,NA,NA,NA,NA,NA,NA,"NOT SPECIFIED","3","52.7"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"BLOUNT","009","STRAWBERRIES ",NA,"Total ACRES BEARING",NA,NA,NA,NA,NA,NA,NA,"NOT SPECIFIED","(D)","(D)"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"BLOUNT","009","STRAWBERRIES ",NA,"Total ACRES GROWN",NA,NA,NA,NA,NA,NA,NA,"NOT SPECIFIED","(D)","(D)"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"BLOUNT","009","STRAWBERRIES ",NA,"Total ACRES NON-BEARING",NA,NA,NA,NA,NA,NA,NA,"NOT SPECIFIED","(D)","(D)"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"BLOUNT","009","STRAWBERRIES ",NA,"Total OPERATIONS WITH AREA BEARING",NA,NA,NA,NA,NA,NA,NA,"NOT SPECIFIED","3","55.7"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"BLOUNT","009","STRAWBERRIES ",NA,"Total OPERATIONS WITH AREA GROWN",NA,NA,NA,NA,NA,NA,NA,"NOT SPECIFIED","3","52.7"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"BLOUNT","009","STRAWBERRIES ",NA,"Total OPERATIONS WITH AREA NON-BEARING",NA,NA,NA,NA,NA,NA,NA,"NOT SPECIFIED","1","47.6"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"CALHOUN","015","STRAWBERRIES ",NA,"Total ACRES BEARING",NA,NA,NA,NA,NA,NA,NA,"NOT SPECIFIED","(D)","(D)"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"CALHOUN","015","STRAWBERRIES ",NA,"Total ACRES GROWN",NA,NA,NA,NA,NA,NA,NA,"NOT SPECIFIED","(D)","(D)"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"CALHOUN","015","STRAWBERRIES ",NA,"Total OPERATIONS WITH AREA BEARING",NA,NA,NA,NA,NA,NA,NA,"NOT SPECIFIED","2","55.7"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"CALHOUN","015","STRAWBERRIES ",NA,"Total OPERATIONS WITH AREA GROWN",NA,NA,NA,NA,NA,NA,NA,"NOT SPECIFIED","2","52.7"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"CLEBURNE","029","STRAWBERRIES ",NA,"Total ACRES BEARING",NA,NA,NA,NA,NA,NA,NA,"NOT SPECIFIED","(D)","(D)"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"CLEBURNE","029","STRAWBERRIES ",NA,"Total ACRES GROWN",NA,NA,NA,NA,NA,NA,NA,"NOT SPECIFIED","(D)","(D)"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"CLEBURNE","029","STRAWBERRIES ",NA,"Total OPERATIONS WITH AREA BEARING",NA,NA,NA,NA,NA,NA,NA,"NOT SPECIFIED","4","55.7"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"CLEBURNE","029","STRAWBERRIES ",NA,"Total OPERATIONS WITH AREA GROWN",NA,NA,NA,NA,NA,NA,NA,"NOT SPECIFIED","4","52.7"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"CULLMAN","043","STRAWBERRIES ",NA,"Total ACRES BEARING",NA,NA,NA,NA,NA,NA,NA,"NOT SPECIFIED","8","13.2"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"CULLMAN","043","STRAWBERRIES ",NA,"Total ACRES GROWN",NA,NA,NA,NA,NA,NA,NA,"NOT SPECIFIED","9","15.7"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"CULLMAN","043","STRAWBERRIES ",NA,"Total ACRES NON-BEARING",NA,NA,NA,NA,NA,NA,NA,"NOT SPECIFIED","1","(H)"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"CULLMAN","043","STRAWBERRIES ",NA,"Total OPERATIONS WITH AREA BEARING",NA,NA,NA,NA,NA,NA,NA,"NOT SPECIFIED","10","55.7"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"CULLMAN","043","STRAWBERRIES ",NA,"Total OPERATIONS WITH AREA GROWN",NA,NA,NA,NA,NA,NA,NA,"NOT SPECIFIED","11","52.7"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"CULLMAN","043","STRAWBERRIES ",NA,"Total OPERATIONS WITH AREA NON-BEARING",NA,NA,NA,NA,NA,NA,NA,"NOT SPECIFIED","3","47.6"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"DE KALB","049","STRAWBERRIES ",NA,"Total ACRES BEARING",NA,NA,NA,NA,NA,NA,NA,"NOT SPECIFIED","7","13.2"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"DE KALB","049","STRAWBERRIES ",NA,"Total ACRES GROWN",NA,NA,NA,NA,NA,NA,NA,"NOT SPECIFIED","7","15.7"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"DE KALB","049","STRAWBERRIES ",NA,"Total OPERATIONS WITH AREA BEARING",NA,NA,NA,NA,NA,NA,NA,"NOT SPECIFIED","6","55.7"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"DE KALB","049","STRAWBERRIES ",NA,"Total OPERATIONS WITH AREA GROWN",NA,NA,NA,NA,NA,NA,NA,"NOT SPECIFIED","6","52.7"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"JACKSON","071","STRAWBERRIES ",NA,"Total ACRES BEARING",NA,NA,NA,NA,NA,NA,NA,"NOT SPECIFIED","1","13.2"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"JACKSON","071","STRAWBERRIES ",NA,"Total ACRES GROWN",NA,NA,NA,NA,NA,NA,NA,"NOT SPECIFIED","1","15.7"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"JACKSON","071","STRAWBERRIES ",NA,"Total OPERATIONS WITH AREA BEARING",NA,NA,NA,NA,NA,NA,NA,"NOT SPECIFIED","4","55.7"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"JACKSON","071","STRAWBERRIES ",NA,"Total OPERATIONS WITH AREA GROWN",NA,NA,NA,NA,NA,NA,NA,"NOT SPECIFIED","4","52.7"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"MARSHALL","095","STRAWBERRIES ",NA,"Total ACRES BEARING",NA,NA,NA,NA,NA,NA,NA,"NOT SPECIFIED","(D)","(D)"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"MARSHALL","095","STRAWBERRIES ",NA,"Total ACRES GROWN",NA,NA,NA,NA,NA,NA,NA,"NOT SPECIFIED","(D)","(D)"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"MARSHALL","095","STRAWBERRIES ",NA,"Total OPERATIONS WITH AREA BEARING",NA,NA,NA,NA,NA,NA,NA,"NOT SPECIFIED","2","55.7"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"MARSHALL","095","STRAWBERRIES ",NA,"Total OPERATIONS WITH AREA GROWN",NA,NA,NA,NA,NA,NA,NA,"NOT SPECIFIED","2","52.7"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"SAINT CLAIR","115","STRAWBERRIES ",NA,"Total ACRES BEARING",NA,NA,NA,NA,NA,NA,NA,"NOT SPECIFIED","10","13.2"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"SAINT CLAIR","115","STRAWBERRIES ",NA,"Total ACRES GROWN",NA,NA,NA,NA,NA,NA,NA,"NOT SPECIFIED","10","15.7"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"SAINT CLAIR","115","STRAWBERRIES ",NA,"Total OPERATIONS WITH AREA BEARING",NA,NA,NA,NA,NA,NA,NA,"NOT SPECIFIED","8","55.7"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"SAINT CLAIR","115","STRAWBERRIES ",NA,"Total OPERATIONS WITH AREA GROWN",NA,NA,NA,NA,NA,NA,NA,"NOT SPECIFIED","8","52.7"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","NORTHERN VALLEY",10,"LAUDERDALE","077","STRAWBERRIES ",NA,"Total ACRES BEARING",NA,NA,NA,NA,NA,NA,NA,"NOT SPECIFIED","(D)","(D)"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","NORTHERN VALLEY",10,"LAUDERDALE","077","STRAWBERRIES ",NA,"Total ACRES GROWN",NA,NA,NA,NA,NA,NA,NA,"NOT SPECIFIED","(D)","(D)"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","NORTHERN VALLEY",10,"LAUDERDALE","077","STRAWBERRIES ",NA,"Total OPERATIONS WITH AREA BEARING",NA,NA,NA,NA,NA,NA,NA,"NOT SPECIFIED","2","55.7"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","NORTHERN VALLEY",10,"LAUDERDALE","077","STRAWBERRIES ",NA,"Total OPERATIONS WITH AREA GROWN",NA,NA,NA,NA,NA,NA,NA,"NOT SPECIFIED","2","52.7"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","NORTHERN VALLEY",10,"LIMESTONE","083","STRAWBERRIES ",NA,"Total ACRES BEARING",NA,NA,NA,NA,NA,NA,NA,"NOT SPECIFIED","(D)","(D)"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","NORTHERN VALLEY",10,"LIMESTONE","083","STRAWBERRIES ",NA,"Total ACRES GROWN",NA,NA,NA,NA,NA,NA,NA,"NOT SPECIFIED","(D)","(D)"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","NORTHERN VALLEY",10,"LIMESTONE","083","STRAWBERRIES ",NA,"Total OPERATIONS WITH AREA BEARING",NA,NA,NA,NA,NA,NA,NA,"NOT SPECIFIED","1","(L)"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","NORTHERN VALLEY",10,"LIMESTONE","083","STRAWBERRIES ",NA,"Total OPERATIONS WITH AREA GROWN",NA,NA,NA,NA,NA,NA,NA,"NOT SPECIFIED","1","(L)"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","NORTHERN VALLEY",10,"MADISON","089","STRAWBERRIES ",NA,"Total ACRES GROWN",NA,NA,NA,NA,NA,NA,NA,"NOT SPECIFIED","(D)","(D)"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","NORTHERN VALLEY",10,"MADISON","089","STRAWBERRIES ",NA,"Total ACRES NON-BEARING",NA,NA,NA,NA,NA,NA,NA,"NOT SPECIFIED","(D)","(D)"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","NORTHERN VALLEY",10,"MADISON","089","STRAWBERRIES ",NA,"Total OPERATIONS WITH AREA GROWN",NA,NA,NA,NA,NA,NA,NA,"NOT SPECIFIED","2","(L)"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","NORTHERN VALLEY",10,"MADISON","089","STRAWBERRIES ",NA,"Total OPERATIONS WITH AREA NON-BEARING",NA,NA,NA,NA,NA,NA,NA,"NOT SPECIFIED","2","(L)"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","NORTHERN VALLEY",10,"MARION","093","STRAWBERRIES ",NA,"Total ACRES BEARING",NA,NA,NA,NA,NA,NA,NA,"NOT SPECIFIED","2","13.2"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","NORTHERN VALLEY",10,"MARION","093","STRAWBERRIES ",NA,"Total ACRES GROWN",NA,NA,NA,NA,NA,NA,NA,"NOT SPECIFIED","2","15.7"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","NORTHERN VALLEY",10,"MARION","093","STRAWBERRIES ",NA,"Total ACRES NON-BEARING",NA,NA,NA,NA,NA,NA,NA,"NOT SPECIFIED","(Z)","(H)"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","NORTHERN VALLEY",10,"MARION","093","STRAWBERRIES ",NA,"Total OPERATIONS WITH AREA BEARING",NA,NA,NA,NA,NA,NA,NA,"NOT SPECIFIED","3","55.7"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","NORTHERN VALLEY",10,"MARION","093","STRAWBERRIES ",NA,"Total OPERATIONS WITH AREA GROWN",NA,NA,NA,NA,NA,NA,NA,"NOT SPECIFIED","6","52.7"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","NORTHERN VALLEY",10,"MARION","093","STRAWBERRIES ",NA,"Total OPERATIONS WITH AREA NON-BEARING",NA,NA,NA,NA,NA,NA,NA,"NOT SPECIFIED","3","47.6"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","NORTHERN VALLEY",10,"MORGAN","103","STRAWBERRIES ",NA,"Total ACRES BEARING",NA,NA,NA,NA,NA,NA,NA,"NOT SPECIFIED","61","13.2"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","NORTHERN VALLEY",10,"MORGAN","103","STRAWBERRIES ",NA,"Total ACRES GROWN",NA,NA,NA,NA,NA,NA,NA,"NOT SPECIFIED","61","15.7"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","NORTHERN VALLEY",10,"MORGAN","103","STRAWBERRIES ",NA,"Total OPERATIONS WITH AREA BEARING",NA,NA,NA,NA,NA,NA,NA,"NOT SPECIFIED","13","55.7"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","NORTHERN VALLEY",10,"MORGAN","103","STRAWBERRIES ",NA,"Total OPERATIONS WITH AREA GROWN",NA,NA,NA,NA,NA,NA,NA,"NOT SPECIFIED","13","52.7"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT",30,"BIBB","007","STRAWBERRIES ",NA,"Total ACRES GROWN",NA,NA,NA,NA,NA,NA,NA,"NOT SPECIFIED","(D)","(D)"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT",30,"BIBB","007","STRAWBERRIES ",NA,"Total ACRES NON-BEARING",NA,NA,NA,NA,NA,NA,NA,"NOT SPECIFIED","(D)","(D)"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT",30,"BIBB","007","STRAWBERRIES ",NA,"Total OPERATIONS WITH AREA GROWN",NA,NA,NA,NA,NA,NA,NA,"NOT SPECIFIED","1","52.7"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT",30,"BIBB","007","STRAWBERRIES ",NA,"Total OPERATIONS WITH AREA NON-BEARING",NA,NA,NA,NA,NA,NA,NA,"NOT SPECIFIED","1","47.6"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT",30,"CHILTON","021","STRAWBERRIES ",NA,"Total ACRES BEARING",NA,NA,NA,NA,NA,NA,NA,"NOT SPECIFIED","(D)","(D)"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT",30,"CHILTON","021","STRAWBERRIES ",NA,"Total ACRES GROWN",NA,NA,NA,NA,NA,NA,NA,"NOT SPECIFIED","16","15.7"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT",30,"CHILTON","021","STRAWBERRIES ",NA,"Total ACRES NON-BEARING",NA,NA,NA,NA,NA,NA,NA,"NOT SPECIFIED","(D)","(D)"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT",30,"CHILTON","021","STRAWBERRIES ",NA,"Total OPERATIONS WITH AREA BEARING",NA,NA,NA,NA,NA,NA,NA,"NOT SPECIFIED","4","55.7"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT",30,"CHILTON","021","STRAWBERRIES ",NA,"Total OPERATIONS WITH AREA GROWN",NA,NA,NA,NA,NA,NA,NA,"NOT SPECIFIED","4","52.7"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT",30,"CHILTON","021","STRAWBERRIES ",NA,"Total OPERATIONS WITH AREA NON-BEARING",NA,NA,NA,NA,NA,NA,NA,"NOT SPECIFIED","2","47.6"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT",30,"CLAY","027","STRAWBERRIES ",NA,"Total ACRES BEARING",NA,NA,NA,NA,NA,NA,NA,"NOT SPECIFIED","8","13.2"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT",30,"CLAY","027","STRAWBERRIES ",NA,"Total ACRES GROWN",NA,NA,NA,NA,NA,NA,NA,"NOT SPECIFIED","8","15.7"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT",30,"CLAY","027","STRAWBERRIES ",NA,"Total OPERATIONS WITH AREA BEARING",NA,NA,NA,NA,NA,NA,NA,"NOT SPECIFIED","8","55.7"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT",30,"CLAY","027","STRAWBERRIES ",NA,"Total OPERATIONS WITH AREA GROWN",NA,NA,NA,NA,NA,NA,NA,"NOT SPECIFIED","8","52.7"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT",30,"JEFFERSON","073","STRAWBERRIES ",NA,"Total ACRES BEARING",NA,NA,NA,NA,NA,NA,NA,"NOT SPECIFIED","8","13.2"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT",30,"JEFFERSON","073","STRAWBERRIES ",NA,"Total ACRES GROWN",NA,NA,NA,NA,NA,NA,NA,"NOT SPECIFIED","8","15.7"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT",30,"JEFFERSON","073","STRAWBERRIES ",NA,"Total OPERATIONS WITH AREA BEARING",NA,NA,NA,NA,NA,NA,NA,"NOT SPECIFIED","5","55.7"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT",30,"JEFFERSON","073","STRAWBERRIES ",NA,"Total OPERATIONS WITH AREA GROWN",NA,NA,NA,NA,NA,NA,NA,"NOT SPECIFIED","5","52.7"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT",30,"RANDOLPH","111","STRAWBERRIES ",NA,"Total ACRES BEARING",NA,NA,NA,NA,NA,NA,NA,"NOT SPECIFIED","(Z)","13.2"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT",30,"RANDOLPH","111","STRAWBERRIES ",NA,"Total ACRES GROWN",NA,NA,NA,NA,NA,NA,NA,"NOT SPECIFIED","(Z)","15.7"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT",30,"RANDOLPH","111","STRAWBERRIES ",NA,"Total OPERATIONS WITH AREA BEARING",NA,NA,NA,NA,NA,NA,NA,"NOT SPECIFIED","4","55.7"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT",30,"RANDOLPH","111","STRAWBERRIES ",NA,"Total OPERATIONS WITH AREA GROWN",NA,NA,NA,NA,NA,NA,NA,"NOT SPECIFIED","4","52.7"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT",30,"SHELBY","117","STRAWBERRIES ",NA,"Total ACRES BEARING",NA,NA,NA,NA,NA,NA,NA,"NOT SPECIFIED","(D)","(D)"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT",30,"SHELBY","117","STRAWBERRIES ",NA,"Total ACRES GROWN",NA,NA,NA,NA,NA,NA,NA,"NOT SPECIFIED","3","15.7"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT",30,"SHELBY","117","STRAWBERRIES ",NA,"Total ACRES NON-BEARING",NA,NA,NA,NA,NA,NA,NA,"NOT SPECIFIED","(D)","(D)"
